"database","schema","relation","column","key","type","description"
"bc","baseballdatabank","appearances","year_id","","smallint",""
"bc","baseballdatabank","appearances","team_id","","varchar",""
"bc","baseballdatabank","appearances","lg_id","","varchar",""
"bc","baseballdatabank","appearances","player_id","","varchar",""
"bc","baseballdatabank","appearances","g_all","","smallint",""
"bc","baseballdatabank","appearances","gs","","smallint",""
"bc","baseballdatabank","appearances","g_batting","","smallint",""
"bc","baseballdatabank","appearances","g_defense","","smallint",""
"bc","baseballdatabank","appearances","g_p","","smallint",""
"bc","baseballdatabank","appearances","g_c","","smallint",""
"bc","baseballdatabank","appearances","g_1b","","smallint",""
"bc","baseballdatabank","appearances","g_2b","","smallint",""
"bc","baseballdatabank","appearances","g_3b","","smallint",""
"bc","baseballdatabank","appearances","g_ss","","smallint",""
"bc","baseballdatabank","appearances","g_lf","","smallint",""
"bc","baseballdatabank","appearances","g_cf","","smallint",""
"bc","baseballdatabank","appearances","g_rf","","smallint",""
"bc","baseballdatabank","appearances","g_of","","smallint",""
"bc","baseballdatabank","appearances","g_dh","","smallint",""
"bc","baseballdatabank","appearances","g_ph","","smallint",""
"bc","baseballdatabank","appearances","g_pr","","smallint",""
"bc","baseballdatabank","batting","player_id","","varchar",""
"bc","baseballdatabank","batting","year_id","","smallint",""
"bc","baseballdatabank","batting","stint","","smallint",""
"bc","baseballdatabank","batting","team_id","","varchar",""
"bc","baseballdatabank","batting","lg_id","","varchar",""
"bc","baseballdatabank","batting","g","","usmallint",""
"bc","baseballdatabank","batting","ab","","usmallint",""
"bc","baseballdatabank","batting","r","","usmallint",""
"bc","baseballdatabank","batting","h","","usmallint",""
"bc","baseballdatabank","batting","_2b","","usmallint",""
"bc","baseballdatabank","batting","_3b","","usmallint",""
"bc","baseballdatabank","batting","hr","","usmallint",""
"bc","baseballdatabank","batting","rbi","","usmallint",""
"bc","baseballdatabank","batting","sb","","usmallint",""
"bc","baseballdatabank","batting","cs","","usmallint",""
"bc","baseballdatabank","batting","bb","","usmallint",""
