"database","schema","relation","column","key","type","description"
"timeball","baseballdatabank","fielding_of","player_id","","varchar",""
"timeball","baseballdatabank","fielding_of","year_id","","smallint",""
"timeball","baseballdatabank","fielding_of","stint","","smallint",""
"timeball","baseballdatabank","fielding_of","g_lf","","smallint",""
"timeball","baseballdatabank","fielding_of","g_cf","","smallint",""
"timeball","baseballdatabank","fielding_of","g_rf","","smallint",""
"timeball","baseballdatabank","people","player_id","","varchar",""
"timeball","baseballdatabank","people","birth_year","","smallint",""
"timeball","baseballdatabank","people","birth_month","","smallint",""
"timeball","baseballdatabank","people","birth_day","","smallint",""
"timeball","baseballdatabank","people","birth_country","","varchar",""
"timeball","baseballdatabank","people","birth_state","","varchar",""
"timeball","baseballdatabank","people","birth_city","","varchar",""
"timeball","baseballdatabank","people","death_year","","smallint",""
"timeball","baseballdatabank","people","death_month","","smallint",""
"timeball","baseballdatabank","people","death_day","","smallint",""
"timeball","baseballdatabank","people","death_country","","varchar",""
"timeball","baseballdatabank","people","death_state","","varchar",""
"timeball","baseballdatabank","people","death_city","","varchar",""
"timeball","baseballdatabank","people","name_first","","varchar",""
"timeball","baseballdatabank","people","name_last","","varchar",""
"timeball","baseballdatabank","people","name_given","","varchar",""
"timeball","baseballdatabank","people","weight","","smallint",""
"timeball","baseballdatabank","people","height","","double",""
"timeball","baseballdatabank","people","bats","","varchar",""
"timeball","baseballdatabank","people","throws","","varchar",""
"timeball","baseballdatabank","people","debut","","timestamp",""
"timeball","baseballdatabank","people","final_game","","timestamp",""
"timeball","baseballdatabank","people","retro_id","","varchar",""
"timeball","baseballdatabank","people","bbref_id","","varchar",""
"timeball","baseballdatabank","pitching","player_id","","varchar",""
"timeball","baseballdatabank","pitching","year_id","","smallint",""
"timeball","baseballdatabank","pitching","stint","","smallint",""
"timeball","baseballdatabank","pitching","team_id","","varchar",""
"timeball","baseballdatabank","pitching","lg_id","","varchar",""
"timeball","baseballdatabank","pitching","w","","smallint",""
"timeball","baseballdatabank","pitching","l","","smallint",""
"timeball","baseballdatabank","pitching","g","","smallint",""
"timeball","baseballdatabank","pitching","gs","","smallint",""
"timeball","baseballdatabank","pitching","cg","","smallint",""
"timeball","baseballdatabank","pitching","sho","","smallint",""
"timeball","baseballdatabank","pitching","sv","","smallint",""
"timeball","baseballdatabank","pitching","ip_outs","","smallint",""
"timeball","baseballdatabank","pitching","h","","smallint",""
"timeball","baseballdatabank","pitching","er","","smallint",""
"timeball","baseballdatabank","pitching","hr","","smallint",""
"timeball","baseballdatabank","pitching","bb","","smallint",""
"timeball","baseballdatabank","pitching","so","","smallint",""
"timeball","baseballdatabank","pitching","ba_opp","","double",""
"timeball","baseballdatabank","pitching","era","","double",""
"timeball","baseballdatabank","pitching","ibb","","smallint",""
"timeball","baseballdatabank","pitching","wp","","smallint",""
"timeball","baseballdatabank","pitching","hbp","","smallint",""
"timeball","baseballdatabank","pitching","bk","","smallint",""
"timeball","baseballdatabank","pitching","bfp","","smallint",""
"timeball","baseballdatabank","pitching","gf","","smallint",""
"timeball","baseballdatabank","pitching","r","","smallint",""
"timeball","baseballdatabank","pitching","sh","","smallint",""
"timeball","baseballdatabank","pitching","sf","","smallint",""
"timeball","baseballdatabank","pitching","gidp","","smallint",""
"timeball","baseballdatabank","fielding","player_id","","varchar",""
"timeball","baseballdatabank","fielding","year_id","","smallint",""
