baserunning_play_type,result_category_out,result_category_safe,priority
AdvancedOnError,OtherAdvanceOut,OtherAdvanceSafe,7
Balk,OtherAdvanceOut,OtherAdvanceSafe,8
CaughtStealing,CaughtStealing,OtherAdvanceSafe,3
DefensiveIndifference,OtherAdvanceOut,OtherAdvanceSafe,9
OtherAdvance,OtherAdvanceOut,OtherAdvanceSafe,10
PassedBall,OtherAdvanceOut,PassedBall,6
PickedOff,PickedOff,OtherAdvanceSafe,2
PickedOffCaughtStealing,PickedOff,OtherAdvanceSafe,1
StolenBase,OtherAdvanceOut,StolenBase,4
WildPitch,OtherAdvanceOut,WildPitch,5
