general_location,category_depth,catgory_side,category_edge,is_mid_position
Catcher,Plate,All,All,false
CatcherFirst,Plate,Right,Corner,true
CatcherThird,Plate,Left,Corner,true
Pitcher,Infield,Neutral,Middle,false
PitcherFirst,Infield,Right,Middle,true
PitcherThird,Infield,Left,Middle,true
First,Infield,Right,Corner,false
FirstSecond,Infield,Right,Corner,true
Second,Infield,Right,Middle,false
SecondShortstop,Infield,Neutral,Middle,true
Shortstop,Infield,Left,Middle,false
Third,Infield,Left,Corner,false
ThirdShortstop,Infield,Left,Corner,true
Center,Outfield,Neutral,Middle,false
Left,Outfield,Left,Corner,false
LeftCenter,Outfield,Left,Middle,true
Right,Outfield,Right,Corner,false
RightCenter,Outfield,Right,Middle,true
