franchise_id,team_id,league,division,location,nickname,alternative_nicknames,date_start,date_end,city,state
ANA,LAA,AL,,Los Angeles,Angels,,1961-04-11,1964-10-04,Los Angeles,CA
ANA,CAL,AL,,Los Angeles,Angels,,1965-04-12,1965-09-01,Anaheim,CA
ANA,CAL,AL,,California,Angels,,1965-09-02,1968-09-29,Anaheim,CA
ANA,CAL,AL,W,California,Angels,,1969-04-08,1996-09-29,Anaheim,CA
ANA,ANA,AL,W,Anaheim,Angels,,1997-04-02,2004-10-08,Anaheim,CA
ANA,ANA,AL,W,Los Angeles,Angels,,2005-04-05,,Anaheim,CA
ARI,ARI,NL,W,Arizona,Diamondbacks,,1998-03-31,,Phoenix,AZ
ATL,BS1,NA,,Boston,Red Stockings,,1871-05-05,1875-10-30,Boston,MA
ATL,BSN,NL,,Boston,Red Caps,,1876-04-22,1882-10-02,Boston,MA
ATL,BSN,NL,,Boston,Beaneaters,,1883-05-01,1906-10-05,Boston,MA
ATL,BSN,NL,,Boston,Doves,,1907-04-12,1910-10-12,Boston,MA
ATL,BSN,NL,,Boston,Rustlers,Heps,1911-04-12,1911-10-09,Boston,MA
ATL,BSN,NL,,Boston,Braves,,1912-04-11,1935-09-29,Boston,MA
ATL,BSN,NL,,Boston,Bees,,1936-04-14,1940-09-29,Boston,MA
ATL,BSN,NL,,Boston,Braves,,1941-04-15,1952-09-28,Boston,MA
ATL,MLN,NL,,Milwaukee,Braves,,1953-04-13,1965-10-03,Milwaukee,WI
ATL,ATL,NL,,Atlanta,Braves,,1966-04-12,1968-09-29,Atlanta,GA
ATL,ATL,NL,W,Atlanta,Braves,,1969-04-07,1993-10-13,Atlanta,GA
ATL,ATL,NL,E,Atlanta,Braves,,1994-04-04,,Atlanta,GA
BAL,MLA,AL,,Milwaukee,Brewers,,1901-04-25,1901-09-28,Milwaukee,WI
BAL,SLA,AL,,St. Louis,Browns,,1902-04-23,1953-09-27,St. Louis,MO
BAL,BAL,AL,,Baltimore,Orioles,,1954-04-13,1968-09-27,Baltimore,MD
BAL,BAL,AL,E,Baltimore,Orioles,,1969-04-08,,Baltimore,MD
BOS,BOS,AL,,Boston,Americans,Somersets,1901-04-26,1907-10-05,Boston,MA
BOS,BOS,AL,,Boston,Red Sox,,1908-04-14,1968-09-29,Boston,MA
BOS,BOS,AL,E,Boston,Red Sox,,1969-04-08,,Boston,MA
CHA,CHA,AL,,Chicago,White Sox,,1901-04-24,1968-09-29,Chicago,IL
CHA,CHA,AL,W,Chicago,White Sox,,1969-04-08,1993-10-12,Chicago,IL
CHA,CHA,AL,C,Chicago,White Sox,,1994-04-04,,Chicago,IL
CHN,CH1,NA,,Chicago,White Stockings,,1871-05-08,1871-10-30,Chicago,IL
CHN,CH2,NA,,Chicago,White Stockings,,1874-05-13,1875-10-27,Chicago,IL
CHN,CHN,NL,,Chicago,White Stockings,,1876-04-25,1889-10-05,Chicago,IL
CHN,CHN,NL,,Chicago,Colts,,1890-04-19,1897-10-03,Chicago,IL
CHN,CHN,NL,,Chicago,Orphans,,1898-04-15,1902-10-05,Chicago,IL
CHN,CHN,NL,,Chicago,Cubs,,1903-04-16,1968-09-29,Chicago,IL
CHN,CHN,NL,E,Chicago,Cubs,,1969-04-08,1993-10-03,Chicago,IL
CHN,CHN,NL,C,Chicago,Cubs,,1994-04-04,,Chicago,IL
CIN,CN2,AA,,Cincinnati,Red Stockings,,1882-05-02,1889-10-15,Cincinnati,OH
CIN,CIN,NL,,Cincinnati,Reds,,1890-04-19,1953-09-27,Cincinnati,OH
CIN,CIN,NL,,Cincinnati,Redlegs,,1954-04-13,1959-09-27,Cincinnati,OH
CIN,CIN,NL,,Cincinnati,Reds,,1960-04-12,1968-09-29,Cincinnati,OH
CIN,CIN,NL,W,Cincinnati,Reds,,1969-04-07,1993-10-03,Cincinnati,OH
CIN,CIN,NL,C,Cincinnati,Reds,,1994-04-03,,Cincinnati,OH
CLE,CLE,AL,,Cleveland,Blues,,1901-04-24,1901-09-28,Cleveland,OH
CLE,CLE,AL,,Cleveland,Broncos,,1902-04-23,1902-09-27,Cleveland,OH
CLE,CLE,AL,,Cleveland,Naps,,1903-04-22,1914-10-04,Cleveland,OH
CLE,CLE,AL,,Cleveland,Indians,,1915-04-14,1968-09-27,Cleveland,OH
CLE,CLE,AL,E,Cleveland,Indians,,1969-04-08,1993-10-03,Cleveland,OH
CLE,CLE,AL,C,Cleveland,Indians,,1994-04-04,,Cleveland,OH
COL,COL,NL,W,Colorado,Rockies,,1993-04-05,,Denver,CO
DET,DET,AL,,Detroit,Tigers,,1901-04-25,1968-10-10,Detroit,MI
DET,DET,AL,E,Detroit,Tigers,,1969-04-08,1997-09-28,Detroit,MI
DET,DET,AL,C,Detroit,Tigers,,1998-03-31,,Detroit,MI
