name,is_at_bat,is_on_base_opportunity,is_on_base_success,is_batting_out,is_in_play,is_hit,is_fielded,total_bases
InPlayOut,true,true,false,true,true,false,true,0
StrikeOut,true,true,false,true,false,false,false,0
ReachedOnError,true,true,false,true,true,false,true,0
FieldersChoice,true,true,false,true,true,false,true,0
SacrificeFly,false,true,false,true,true,false,true,0
SacrificeHit,false,false,false,true,true,false,true,0
Walk,false,true,true,false,false,false,false,0
HitByPitch,false,true,true,false,false,false,false,0
IntentionalWalk,false,true,true,false,false,false,false,0
Interference,false,false,false,false,false,false,false,0
Single,true,true,true,false,true,true,true,1
Double,true,true,true,false,true,true,true,2
GroundRuleDouble,true,true,true,false,true,true,false,2
Triple,true,true,true,false,true,true,true,3
HomeRun,true,true,true,false,true,true,false,4
InsideTheParkHomeRun,true,true,true,false,true,true,true,4
